File Name	Name	Type	Page	Modification Date	Comment
Beginning ASP.NET MVC 4.pdf	brad	Highlight	6	3/25/2014 7:30:26 PM 	"A year later, version 3.0 added Windows\rCommunication Foundation (WCF), Windows Presentation Foundation (WPF), Windows Workflow Foundation (WF),\rand Windows CardSpace. In"
Beginning ASP.NET MVC 4.pdf	brad	Highlight	6	3/25/2014 7:30:53 PM 	"Version 4.0, released in 2010,\radded a new set of features, such as extensible output caching, jQuery as the default JavaScript library, routing in the\rframework, a much better ViewState control, and a lot of improvements to existing functionality."
Beginning ASP.NET MVC 4.pdf	brad	Highlight	9	3/25/2014 7:35:38 PM 	"ASMX files are ASP.NET web services, introduce in .NET 2.0. These files provide services for\rpages in the application or any other program that can access them. ASMX web services are\rnow being replaced by Windows Communication Foundation (WCF) services (introduced\rin .NET 3.0), which have the extension .svc and offer much-improved security and\rscalability features."
Beginning ASP.NET MVC 4.pdf	brad	Highlight	10	3/25/2014 7:37:26 PM 	Consider using HTML controls when any of the following conditions exists:
Beginning ASP.NET MVC 4.pdf	brad	Highlight	10	3/25/2014 7:37:38 PM 	The control needs to have custom client-side JavaScript attached to the control’s events.
Beginning ASP.NET MVC 4.pdf	brad	Highlight	10	3/25/2014 7:38:05 PM 	ASP.NET Web Pages (now in version 2) is a framework for building web applications in which pages use the\rRazor syntax.
Beginning ASP.NET MVC 4.pdf	brad	Highlight	10	3/25/2014 7:38:29 PM 	"ASP.NET Razor uses a simple programming syntax that lets you embed server-based code into a web page. Razor\rpages use the extension .cshtml or .vbhtml depending on the language of choice (C# or VB.NET). Because the code is\rembedded in the web page, the idea of a code-behind file doesn’t exist in Razor. The content in Razor pages is created\rwith HTML, and there are no web server controls such as <asp:Button />."
Beginning ASP.NET MVC 4.pdf	brad	Highlight	10	3/25/2014 7:39:16 PM 	"You can use Visual Studio to create ASP.NET Web Pages, but the main tool to use is Microsoft WebMatrix 2.\rWith WebMatrix 2, you have access to web helpers, which let your applications use common services such as Twitter,\rreCAPTCHA, Gravatars, Bing Maps, and more. Also, your applications can be extended using packages from the\rNuGet Gallery. You use NuGet’s graphic interface or command line window to request the packages you want and\rthen they will be downloaded, installed, and configured in your application automatically."
Beginning ASP.NET MVC 4.pdf	brad	Highlight	11	3/25/2014 7:39:45 PM 	ASP.NET MVC is a free and fully supported framework for building web applications that use the model-view-controller\rpattern.
Beginning ASP.NET MVC 4.pdf	brad	Highlight	11	3/25/2014 7:40:00 PM 	"Like ASP.NET Web Forms, ASP.NET MVC is built on top of the ASP.NET Framework. This means you can use\rin ASP.NET MVC applications the same APIs for security, state management, membership, caching, and so on that\ryou could use in traditional ASP.NET Web Forms applications."
Beginning ASP.NET MVC 4.pdf	brad	Highlight	11	3/25/2014 7:40:23 PM 	"In the ASP.NET MVC world, many improvements to ASP.NET have been included in the framework itself.\rThe main purpose of this design pattern is to isolate business logic from the user interface in order to focus on better\rmaintainability, improved testability, and a cleaner structure to the application.\rEvery ASP.NET MVC application has three core parts: a model, views, and controllers. In short, the model\rconsists of all the classes that handle data and business logic. Data processing using model classes is initiated by the\rcontrollers that are in charge of user requests. Once the data processing is complete the controller creates a response\rto the user by sending the results to a View who then produces HTML to be rendered in the browser."
Beginning ASP.NET MVC 4.pdf	brad	Highlight	11	3/25/2014 7:42:06 PM 	"The model in the MVC pattern represents the parts of the application that implement the data domain logic.\rThe operation of the model might come from the generation of classes representing objects in a data store such as a\rdatabase (for example, Entity Framework data classes)."
Beginning ASP.NET MVC 4.pdf	brad	Highlight	11	3/25/2014 7:42:27 PM 	"Views are the visible elements in the application. They are the components that typically show users data from\rthe model. A view page typically receives a view model object from the controller (the view doesn’t care how this data\rwas obtained—that’s the controller’s responsibility!). The view page contains HTML (and possibly some UI-related\rcode) to determine how to render the model data back to the browser.\rThe controllers are classes that collect the user requests, work with the model, and ultimately select a view to\rrender the appropriate UI."
