File Name	Name	Type	Page	Modification Date	Comment
The Book of CSS3.pdf	brad	Highlight	24	4/5/2014 6:09:44 PM 	"CSS3 has two modules devoted exclusively to paged media,\rsuch as PDF or printed materials, and also supports braille, handheld mobile\rdevices (i.e., cellphones rather than smartphones), teletypes, and televisions."
The Book of CSS3.pdf	brad	Highlight	24	4/5/2014 6:10:39 PM 	and wonder why I don’t refer to the\rGecko layout engine used by Firefox or to any WebKit-based browser by name.
The Book of CSS3.pdf	brad	Highlight	24	4/5/2014 6:10:31 PM 	"whereas WebKit is a type of layout engine,"
The Book of CSS3.pdf	brad	Highlight	24	4/5/2014 6:11:11 PM 	"The reason is quite simple: Firefox is clearly the preeminent Gecko-based\rbrowser, whereas Chrome and Safari dispute the eminence of WebKit between\rthem. As a simple space-saving exercise, I will say “WebKit” rather than “Chrome\rand Safari.” The exception to this rule is when a specific feature or syntax only\rappears in one type of WebKit browser—such as hardware-accelerated 3D\rtransformations in Safari—in which case, I refer to the name of the browser\rin question."
The Book of CSS3.pdf	brad	Highlight	28	4/5/2014 6:13:48 PM 	CSS3 Is Modular
The Book of CSS3.pdf	brad	Highlight	28	4/5/2014 6:13:56 PM 	"This is why, instead of a single, monolithic CSS3 specification document,\ryou have CSS3 Basic User Interface Module, Selectors Level 3, Media Queries,"
The Book of CSS3.pdf	brad	Highlight	29	4/5/2014 6:14:08 PM 	"and so on. Some of these modules are revisions of CSS2.1, and some are\rnewly created, but all fall under the banner of CSS3."
The Book of CSS3.pdf	brad	Highlight	29	4/5/2014 6:14:30 PM 	"As I move through this book and discuss each of the different modules, I’ll\ralso refer to that module’s status."
The Book of CSS3.pdf	brad	Highlight	30	4/5/2014 6:16:12 PM 	"What the media refers to as HTML5 is really that new revision of the\rmarkup language combined with CSS3, SVG, and JavaScript—what many\rpeople (myself included) prefer to call part of the Web Stack (or, Open Web Stack)."
The Book of CSS3.pdf	brad	Highlight	30	4/5/2014 6:16:47 PM 	"The property is box-sizing, which allows you to set how an element’s\rdimensions are calculated. As you know, an element’s total width—without\rincluding its margin—is usually calculated from its stated (or inherited)\rwidth value, plus its left and right padding, plus its border-width. Let’s take as\ran example the following code, which should be very familiar to you."
The Book of CSS3.pdf	brad	Highlight	31	4/5/2014 6:17:52 PM 	"Now the width has become a lot harder to calculate because you first need\rto know the width value of the parent element before you can know how much\r15 percent of that is and add the pixel values. Calculations can become very\rcomplicated very quickly, making percentage-based layouts tricky to manage\rproperly.\rAt this point, the box-sizing property comes in handy. With this, you can\rset from which part of the box model—the content itself or the border—the\rwidth of the element is calculated."
The Book of CSS3.pdf	brad	Highlight	31	4/5/2014 6:18:51 PM 	"This property is implemented\rin all major browsers but with browser-specific prefixes in some: In Firefox,\rthe property uses the -moz- prefix—that is, the property is -moz-box-sizing;\rand in WebKit, it has the -webkit- prefix, so it would be -webkit-box-sizing."
The Book of CSS3.pdf	brad	Highlight	31	4/5/2014 6:18:34 PM 	"The value of the declaration is the word keyword, but again the value is\ronly an indicator; it represents a range of possible values. For box-sizing the\rpermitted values are border-box and content-box."
The Book of CSS3.pdf	brad	Highlight	33	4/5/2014 7:31:36 PM 	Browser-Specific Prefixes
